name,capital,area (km2),population
Sierra Leone,Freetown,73252,8460512
Singapore,city-state,736.3,6110200
Slovakia,Bratislava,49035,5413813
Slovenia,Ljubljana,20271,2130850
Solomon Islands,Honiara,28896,734887 (
Somalia,Mogadishu,,19280850
South Africa,Pretoria,1221037,63015904
South Sudan,Juba,,12703714
Spain,Madrid,506030,49442844
Sri Lanka,Sri Jayawardenepura Kotte,67240,21916000
Sudan,Khartoum,,50467278
Suriname,Paramaribo,165940,632638
Sweden,Stockholm,450295,10588230
Switzerland,Bern,41285,9060598
Syria,Damascus,185180,25902673
Tajikistan,Dushanbe,143100,10786734
Tanzania,Dodoma,947303,67462121
Thailand,Bangkok,513120,65975198
Timor-Leste,Dili,14950,1354662 (
Togo,Lomé,56785,9583381
Tonga,Nukuʻalofa,748,100209
Trinidad and Tobago,Port of Spain,5131,1508635
Tunisia,Tunis,163610,11972169
Turkey,Ankara,783562,85664944
Turkmenistan,Ashgabat,491210,7057841 (
Tuvalu,Funafuti,25.14,10643 (
Uganda,Kampala,241038,49283041
Ukraine,Kyiv,603628,32862000
United Arab Emirates,Abu Dhabi,83600,
United Kingdom,London,244376,69281437
United States,"Washington, D.C.",3796742 s,340110988
Uruguay,Montevideo,176215,3499451
Uzbekistan,Tashkent,448978,38000269
Vanuatu,Port Vila,$1,335908
Venezuela,Caracas,916445,30518260
Vietnam,Hanoi,331344.82,100300000
Yemen,Sanaa,455503,42091194
Zambia,Lusaka,752617,20216029
Zimbabwe,Harare,390757,16868409
